kode_wilayah,nama_wilayah,tahun,tpt,laju_pertumbuhan,jumlah_usia_produktif,total_penduduk_kelompok_umur,persentase_usia_produktif,kategori_kuadran
3515,Sidoarjo,2018,4.62,1.65,1610906,2219045,72.59456207512692,"Kuadran 2: Ancaman Pengangguran (Produktif Tinggi, TPT Tinggi)"
3515,Sidoarjo,2019,4.62,1.63,1635032,2253434,72.55735024855399,"Kuadran 2: Ancaman Pengangguran (Produktif Tinggi, TPT Tinggi)"
3515,Sidoarjo,2020,10.97,0.68,1658377,2287578,72.4948832345826,"Kuadran 2: Ancaman Pengangguran (Produktif Tinggi, TPT Tinggi)"
3515,Sidoarjo,2021,10.87,0.58,1681003,2321549,72.40868058352419,"Kuadran 2: Ancaman Pengangguran (Produktif Tinggi, TPT Tinggi)"
3515,Sidoarjo,2022,8.8,0.56,1703082,2355415,72.30496536703723,"Kuadran 2: Ancaman Pengangguran (Produktif Tinggi, TPT Tinggi)"
3515,Sidoarjo,2023,8.05,1.14,1724355,2389147,72.17450412218251,"Kuadran 2: Ancaman Pengangguran (Produktif Tinggi, TPT Tinggi)"
3515,Sidoarjo,2024,6.49,1.12,1744905,2422711,72.02282897134657,"Kuadran 2: Ancaman Pengangguran (Produktif Tinggi, TPT Tinggi)"
3515,Sidoarjo,2025,5.75,1.1,1764364,2456063,71.83708235497215,"Kuadran 2: Ancaman Pengangguran (Produktif Tinggi, TPT Tinggi)"
3516,Mojokerto,2018,4.21,0.97,784292,1109067,70.71637691861719,"Kuadran 1: Peluang Emas (Produktif Tinggi, TPT Rendah)"
3516,Mojokerto,2019,3.61,0.95,789945,1118625,70.61749916191754,"Kuadran 1: Peluang Emas (Produktif Tinggi, TPT Rendah)"
3516,Mojokerto,2020,5.75,0.85,795111,1127882,70.49593840490405,"Kuadran 2: Ancaman Pengangguran (Produktif Tinggi, TPT Tinggi)"
3516,Mojokerto,2021,5.54,0.75,799806,1136879,70.3510224043192,"Kuadran 2: Ancaman Pengangguran (Produktif Tinggi, TPT Tinggi)"
3516,Mojokerto,2022,4.83,0.73,804082,1145650,70.1856587963165,"Kuadran 2: Ancaman Pengangguran (Produktif Tinggi, TPT Tinggi)"
3516,Mojokerto,2023,4.67,0.85,807819,1154185,69.99042614485546,"Kuadran 2: Ancaman Pengangguran (Produktif Tinggi, TPT Tinggi)"
3516,Mojokerto,2024,3.87,0.83,811082,1162473,69.7721151372978,"Kuadran 1: Peluang Emas (Produktif Tinggi, TPT Rendah)"
3516,Mojokerto,2025,3.49,0.81,813631,1170493,69.51182108735378,"Kuadran 1: Peluang Emas (Produktif Tinggi, TPT Rendah)"
3517,Jombang,2018,4.56,0.57,866890,1258259,68.89599041214886,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3517,Jombang,2019,4.28,0.55,869405,1263961,68.78416343542246,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3517,Jombang,2020,7.48,0.89,871407,1269257,68.65489022317782,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3517,Jombang,2021,7.09,0.8,872914,1274197,68.50698910764976,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
