kabupaten/kota,kelompok_umur,laki-laki,perempuan,total
Kabupaten NGAWI,30-34,25674,25591,51265
Kabupaten NGAWI,35-39,28702,29869,58571
Kabupaten NGAWI,40-44,29511,30708,60219
Kabupaten NGAWI,45-49,34126,35364,69490
Kabupaten NGAWI,50-54,33391,34629,68020
Kabupaten NGAWI,55-59,32150,32868,65018
Kabupaten NGAWI,60-64,27110,28674,55784
Kabupaten NGAWI,65-69,20536,22632,43168
Kabupaten NGAWI,70-74,13524,16420,29944
Kabupaten NGAWI,75+,15064,20865,35929
Kabupaten BOJONEGORO,0-4,39570,37973,77543
Kabupaten BOJONEGORO,5-9,40734,40169,80903
Kabupaten BOJONEGORO,10-14,40275,36211,76486
Kabupaten BOJONEGORO,15-19,43827,44637,88464
Kabupaten BOJONEGORO,20-24,39942,40985,80927
Kabupaten BOJONEGORO,25-29,39568,43945,83513
Kabupaten BOJONEGORO,30-34,45407,47464,92871
Kabupaten BOJONEGORO,35-39,45815,44859,90674
Kabupaten BOJONEGORO,40-44,49304,53381,102685
Kabupaten BOJONEGORO,45-49,50421,45706,96127
Kabupaten BOJONEGORO,50-54,48551,49253,97804
Kabupaten BOJONEGORO,55-59,41129,39286,80415
Kabupaten BOJONEGORO,60-64,32862,35438,68300
Kabupaten BOJONEGORO,65-69,26996,26528,53524
Kabupaten BOJONEGORO,70-74,19053,19707,38760
Kabupaten BOJONEGORO,75+,17998,30268,48266
Kabupaten TUBAN,0-4,38746,39415,78161
Kabupaten TUBAN,5-9,39243,36167,75410
Kabupaten TUBAN,10-14,37658,39448,77106
Kabupaten TUBAN,15-19,45725,39433,85158
Kabupaten TUBAN,20-24,42434,43828,86262
Kabupaten TUBAN,25-29,43804,42129,85933
Kabupaten TUBAN,30-34,47209,43340,90549
Kabupaten TUBAN,35-39,41790,44603,86393
Kabupaten TUBAN,40-44,48973,46976,95949
Kabupaten TUBAN,45-49,40860,43983,84843
Kabupaten TUBAN,50-54,43888,46601,90489
Kabupaten TUBAN,55-59,36385,36225,72610
